NroIncidencia;descrip_incidencia;Categoría OEE sugerida
0;Tiempo de proceso;Tiempo planificado (no pérdida)
1;Arranque/Puesta a punto;Setup/Cambio formato
2;Limpieza;Microparadas/Performance
4;Regulación de mantenimiento;Mantenimiento
5;Falla Mecánica;Mantenimiento
6;Falla Eléctrica;Mantenimiento
7;Falla Neumática;Mantenimiento
8;Mantenimiento preventivo;	Mantenimiento
9;Falta de papel/insumo;Otros (Materiales)
10;Cambio de Bobina;Setup/Cambio formato
11;Cambio de Medida;Setup/Cambio formato
12;Formación/Capacitación/Reunión;Otros
13;Descanso/Refrigerio;Otros (Turno/Breaks)
14;Incidencia Papel;Microparadas/Performance
15;Incidencia Adhesivo;Microparadas/Performance
16;Relevo;Otros (Turno/Breaks)
20;Corte de energía/Aire comprimido/Vacío;Mantenimiento/Externo
